hospital,Q1_total number of tested patients,Q1_total number of specimens,Q1_total number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients _S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients _E. coli,Q1_isolation rate_E. coli,Q1_number of patients _K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients _P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients _MRSA,Q1_isolation rate_MRSA,Q1_number of patients _PRSP,Q1_isolation rate_PRSP,Q1_number of patients _CRP,Q1_isolation rate_CRP,Q1_number of patients _3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients _3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q1_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q1_isolation rate_MRSA,Q2_number of patients_PRSP,Q1_isolation rate_PRSP,Q2_number of patients_CRP,Q1_isolation rate_CRP,Q2_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q3_total number of testes patients,Q3_total number of isolation,Q3_total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
1,446,1250,49,0.1099,0,0,31,0.0695,23,0.0516,15,0.0336,38,0.0852,0,0,2,0.0045,1,0.0022,10,0.0224,336,899,256,35,0.1042,0,0,37,0.1101,16,0.0476,10,0.0298,26,0.0774,0,0,1,0.003,0,0,4,0.0119,345,977,320,29,0.0841,0,0,40,0.1159,18,0.0522,23,0.0667,15,0.0435,0,0,6,0.0174,3,0.0087,10,0.029
2,337,1140,40,0.1187,3,0.0089,36,0.1068,16,0.0475,11,0.0326,16,0.0475,0,0,1,0.003,1,0.003,5,0.0148,327,1021,641,40,0.1223,4,0.0122,49,0.1498,15,0.0459,7,0.0214,10,0.0306,0,0,1,0.0031,0,0,16,0.0489,361,1149,617,34,0.0942,4,0.0111,58,0.1607,15,0.0416,15,0.0416,12,0.0332,2,0.0055,2,0.0055,0,0,5,0.0139
3,549,1386,60,0.1093,14,0.0255,59,0.1075,19,0.0346,34,0.0619,27,0.0492,5,0.0091,2,0.0036,0,0,16,0.0291,555,1274,648,56,0.1009,28,0.0505,51,0.0919,15,0.027,21,0.0378,24,0.0432,9,0.0162,1,0.0018,0,0,11,0.0198,570,1267,662,51,0.0895,27,0.0474,74,0.1298,19,0.0333,18,0.0316,19,0.0333,15,0.0263,3,0.0053,0,0,10,0.0175
4,399,905,92,0.2306,13,0.0326,109,0.2732,23,0.0576,24,0.0602,54,0.1353,9,0.0226,1,0.0025,0,0,18,0.0451,440,1102,1287,76,0.1727,22,0.05,133,0.3023,20,0.0455,23,0.0523,44,0.1,7,0.0159,5,0.0114,1,0.0023,18,0.0409,437,909,1359,77,0.1762,23,0.0526,121,0.2769,33,0.0755,23,0.0526,39,0.0892,13,0.0297,2,0.0046,0,0,25,0.0572
5,830,2414,95,0.1145,17,0.0205,62,0.0747,16,0.0193,16,0.0193,23,0.0277,7,0.0084,2,0.0024,2,0.0024,8,0.0096,913,2670,1683,107,0.1172,25,0.0274,72,0.0789,17,0.0186,23,0.0252,18,0.0197,8,0.0088,2,0.0022,0,0,7,0.0077,886,2547,1605,79,0.0892,27,0.0305,62,0.07,17,0.0192,20,0.0226,14,0.0158,14,0.0158,3,0.0034,1,0.0011,8,0.009
6,395,1027,48,0.1215,4,0.0101,78,0.1975,24,0.0608,18,0.0456,14,0.0354,2,0.0051,1,0.0025,2,0.0051,9,0.0228,403,1036,907,47,0.1166,7,0.0174,85,0.2109,24,0.0596,18,0.0447,12,0.0298,3,0.0074,3,0.0074,1,0.0025,14,0.0347,349,836,756,44,0.1261,2,0.0057,84,0.2407,22,0.063,13,0.0372,17,0.0487,2,0.0057,1,0.0029,0,0,15,0.043
7,1073,3958,152,0.1417,4,0.0037,149,0.1389,19,0.0177,65,0.0606,43,0.0401,1,0.0009,10,0.0093,0,0,26,0.0242,1103,3781,2250,164,0.1487,4,0.0036,128,0.116,19,0.0172,66,0.0598,49,0.0444,2,0.0018,15,0.0136,0,0,21,0.019,1167,3909,2010,165,0.1414,2,0.0017,124,0.1063,0,0,75,0.0643,39,0.0334,1,0.0009,12,0.0103,0,0,25,0.0214
8,598,1693,47,0.0786,9,0.0151,60,0.1003,19,0.0318,30,0.0502,25,0.0418,4,0.0067,5,0.0084,3,0.005,7,0.0117,603,1607,481,42,0.0697,18,0.0299,66,0.1095,22,0.0365,27,0.0448,25,0.0415,0,0,2,0.0033,1,0.0017,14,0.0232,618,1702,538,51,0.0825,21,0.034,68,0.11,17,0.0275,19,0.0307,26,0.0421,2,0.0032,1,0.0016,2,0.0032,17,0.0275
9,959,3237,170,0.1773,13,0.0136,188,0.196,89,0.0928,38,0.0396,65,0.0678,3,0.0031,3,0.0031,4,0.0042,35,0.0365,918,3197,2988,154,0.1678,14,0.0153,191,0.2081,81,0.0882,37,0.0403,60,0.0654,6,0.0065,5,0.0054,5,0.0054,34,0.037,905,3437,3407,169,0.1867,10,0.011,180,0.1989,110,0.1215,59,0.0652,71,0.0785,4,0.0044,4,0.0044,5,0.0055,36,0.0398
10,609,1674,87,0.1429,26,0.0427,92,0.1511,33,0.0542,29,0.0476,36,0.0591,5,0.0082,6,0.0099,0,0,11,0.0181,615,1642,1229,89,0.1447,42,0.0683,91,0.148,28,0.0455,27,0.0439,44,0.0715,22,0.0358,6,0.0098,0,0,17,0.0276,622,1759,1387,92,0.1479,41,0.0659,85,0.1367,32,0.0514,29,0.0466,40,0.0643,18,0.0289,5,0.008,0,0,17,0.0273
11,957,2619,167,0.1745,24,0.0251,163,0.1703,44,0.046,54,0.0564,47,0.0491,14,0.0146,3,0.0031,5,0.0052,16,0.0167,1018,2680,2877,173,0.1699,44,0.0432,152,0.1493,64,0.0629,47,0.0462,48,0.0472,24,0.0236,7,0.0069,1,0.001,25,0.0246,1048,2861,3242,177,0.1689,40,0.0382,169,0.1613,93,0.0887,48,0.0458,49,0.0468,19,0.0181,3,0.0029,4,0.0038,33,0.0315
12,442,1355,102,0.2308,6,0.0136,124,0.2805,38,0.086,43,0.0973,62,0.1403,1,0.0023,4,0.009,0,0,41,0.0928,363,1122,920,70,0.1928,3,0.0083,89,0.2452,37,0.1019,49,0.135,37,0.1019,2,0.0055,2,0.0055,1,0.0028,33,0.0909,385,1196,986,72,0.187,3,0.0078,113,0.2935,39,0.1013,56,0.1455,42,0.1091,2,0.0052,2,0.0052,1,0.0026,35,0.0909
13,278,777,42,0.1511,4,0.0144,26,0.0935,9,0.0324,5,0.018,28,0.1007,2,0.0072,0,0,1,0.0036,3,0.0108,268,757,261,40,0.1493,1,0.0037,38,0.1418,7,0.0261,7,0.0261,31,0.1157,0,0,1,0.0037,0,0,11,0.041,272,755,240,26,0.0956,3,0.011,37,0.136,11,0.0404,14,0.0515,18,0.0662,0,0,2,0.0074,1,0.0037,7,0.0257
14,263,614,32,0.1217,18,0.0684,44,0.1673,4,0.0152,6,0.0228,18,0.0684,2,0.0076,2,0.0076,1,0.0038,10,0.038,224,546,403,34,0.1518,10,0.0446,23,0.1027,9,0.0402,7,0.0313,12,0.0536,0,0,2,0.0089,0,0,5,0.0223,250,642,454,42,0.168,9,0.036,43,0.172,11,0.044,8,0.032,16,0.064,0,0,2,0.008,0,0,11,0.044
15,665,1908,90,0.1353,9,0.0135,109,0.1639,21,0.0316,26,0.0391,40,0.0602,1,0.0015,0,0,1,0.0015,13,0.0195,701,2102,1168,89,0.127,8,0.0114,87,0.1241,35,0.0499,22,0.0314,40,0.0571,3,0.0043,1,0.0014,7,0.01,9,0.0128,674,1866,1166,83,0.1231,11,0.0163,92,0.1365,41,0.0608,42,0.0623,27,0.0401,5,0.0074,3,0.0045,9,0.0134,14,0.0208
16,121,220,6,0.0496,0,0,19,0.157,8,0.0661,1,0.0083,3,0.0248,0,0,0,0,0,0,0,0,116,219,79,5,0.0431,0,0,16,0.1379,6,0.0517,1,0.0086,2,0.0172,0,0,0,0,0,0,0,0,90,172,77,5,0.0556,0,0,9,0.1,4,0.0444,3,0.0333,3,0.0333,0,0,0,0,0,0,0,0
17,1076,3226,130,0.1208,18,0.0167,179,0.1664,25,0.0232,43,0.04,44,0.0409,7,0.0065,10,0.0093,2,0.0019,25,0.0232,1159,3396,2408,139,0.1199,21,0.0181,200,0.1726,29,0.025,34,0.0293,60,0.0518,5,0.0043,10,0.0086,5,0.0043,28,0.0242,1154,3349,2437,170,0.1473,17,0.0147,187,0.162,46,0.0399,34,0.0295,53,0.0459,9,0.0078,7,0.0061,1,0.0009,21,0.0182
18,471,1374,61,0.1295,16,0.034,53,0.1125,24,0.051,21,0.0446,26,0.0552,5,0.0106,0,0,2,0.0042,16,0.034,512,1429,836,63,0.123,20,0.0391,52,0.1016,24,0.0469,30,0.0586,20,0.0391,3,0.0059,5,0.0098,1,0.002,13,0.0254,520,1364,825,58,0.1115,22,0.0423,50,0.0962,24,0.0462,25,0.0481,24,0.0462,7,0.0135,7,0.0135,0,0,5,0.0096
19,345,768,44,0.1275,16,0.0464,76,0.2203,11,0.0319,6,0.0174,10,0.029,0,0,1,0.0029,0,0,0,0,450,988,912,53,0.1178,34,0.0756,127,0.2822,45,0.1,7,0.0156,9,0.02,0,0,0,0,0,0,0,0,393,910,929,55,0.1399,25,0.0636,97,0.2468,38,0.0967,8,0.0204,17,0.0433,0,0,2,0.0051,1,0.0025,2,0.0051
20,372,910,43,0.1156,20,0.0538,26,0.0699,8,0.0215,5,0.0134,18,0.0484,0,0,0,0,0,0,3,0.0081,404,970,352,32,0.0792,34,0.0842,33,0.0817,9,0.0223,6,0.0149,16,0.0396,0,0,0,0,2,0.005,4,0.0099,370,978,396,37,0.1,30,0.0811,31,0.0838,9,0.0243,14,0.0378,16,0.0432,0,0,0,0,0,0,2,0.0054
