hosptals,2020_resp_total number of testes patients,2020_resp_number of patients_E. coli,2020_resp_isolation rate_E. coli,2020_resp_number of patients_K. pneumoniae,2020_resp_isolation rate_K. pneumoniae,2020_resp_number of patients_3GCRKP,2020_resp_isolation rate_3GCRKP,2020_resp_number of patients_3GCREC,2020_resp_isolation rate_3GCREC,2020_urine_total number of tested patients,2020_urine_number of patients_E. coli,2020_urine_isolation rate_E. coli,2020_urine_number of patients_K. pneumoniae,2020_urine_isolation rate_K. pneumoniae,2020_urine_number of patients_3GCRKP,2020_urine_isolation rate_3GCRKP,2020_urine_number of patients_3GCREC,2020_urine_isolation rate_3GCREC,2020_blood_total number of tested patients,2020_blood_number of patients_E. coli,2020_blood_isolation rate_E. coli,2020_blood_number of patients_K. pneumoniae,2020_blood_isolation rate_K. pneumoniae,2020_blood_number of patients_3GCRKP,2020_blood_isolation rate_3GCRKP,2020_blood_number of patients_3GCREC,2020_blood_isolation rate_3GCREC,2020_stool_total number of tested patients,2020_stool_number of patients_E. coli,2020_stool_isolation rate_E. coli,2020_stool_number of patients_K. pneumoniae,2020_stool_isolation rate_K. pneumoniae,2020_stool_number of patients_3GCRKP,2020_stool_isolation rate_3GCRKP,2020_stool_number of patients_3GCREC,2020_stool_isolation rate_3GCREC
1,143,2,0.014,11,0.0769,3,0.021,1,0.007,102,20,0.1961,7,0.0686,2,0.0196,7,0.0686,199,7,0.0352,4,0.0201,2,0.0101,2,0.0101,27,0,0,0,0,0,0,0,0
2,111,4,0.036,22,0.1982,3,0.027,1,0.009,133,31,0.2331,9,0.0677,0,0,3,0.0226,171,8,0.0468,3,0.0175,1,0.0058,0,0,19,0,0,0,0,0,0,0,0
3,232,10,0.0431,6,0.0259,0,0,2,0.0086,146,28,0.1918,5,0.0342,1,0.0068,2,0.0137,160,4,0.025,2,0.0125,0,0,0,0,75,1,0.0133,0,0,0,0,0,0
4,215,9,0.0419,9,0.0419,1,0.0047,2,0.0093,165,34,0.2061,9,0.0545,1,0.0061,11,0.0667,368,19,0.0516,4,0.0109,0,0,6,0.0163,124,0,0,0,0,0,0,0,0
5,141,6,0.0426,7,0.0496,0,0,2,0.0142,128,26,0.2031,7,0.0547,0,0,3,0.0234,166,8,0.0482,4,0.0241,0,0,1,0.006,54,19,0.3519,8,0.1481,0,0,2,0.037
6,208,3,0.0144,13,0.0625,1,0.0048,1,0.0048,167,32,0.1916,12,0.0719,3,0.018,7,0.0419,183,2,0.0109,4,0.0219,0,0,0,0,70,0,0,0,0,0,0,0,0
7,428,14,0.0327,44,0.1028,5,0.0117,4,0.0093,448,86,0.192,28,0.0625,5,0.0112,18,0.0402,498,17,0.0341,3,0.006,1,0.002,6,0.012,216,89,0.412,55,0.2546,5,0.0231,11,0.0509
8,273,15,0.0549,17,0.0623,7,0.0256,7,0.0256,153,36,0.2353,14,0.0915,5,0.0327,13,0.085,211,9,0.0427,5,0.0237,2,0.0095,3,0.0142,47,24,0.5106,8,0.1702,3,0.0638,4,0.0851
9,217,11,0.0507,16,0.0737,0,0,2,0.0092,241,45,0.1867,13,0.0539,0,0,10,0.0415,356,8,0.0225,6,0.0169,0,0,2,0.0056,69,32,0.4638,20,0.2899,0,0,0,0
10,142,19,0.1338,14,0.0986,0,0,12,0.0845,188,68,0.3617,11,0.0585,0,0,19,0.1011,203,8,0.0394,5,0.0246,0,0,2,0.0099,46,8,0.1739,1,0.0217,0,0,7,0.1522
11,174,10,0.0575,11,0.0632,1,0.0057,3,0.0172,111,31,0.2793,7,0.0631,1,0.009,8,0.0721,107,9,0.0841,2,0.0187,1,0.0093,2,0.0187,47,0,0,0,0,0,0,0,0
12,77,3,0.039,6,0.0779,1,0.013,1,0.013,68,21,0.3088,2,0.0294,1,0.0147,3,0.0441,139,9,0.0647,3,0.0216,0,0,2,0.0144,59,1,0.0169,0,0,0,0,0,0
13,273,12,0.044,23,0.0842,11,0.0403,1,0.0037,178,40,0.2247,15,0.0843,5,0.0281,8,0.0449,263,12,0.0456,8,0.0304,2,0.0076,3,0.0114,45,12,0.2667,0,0,0,0,0,0
14,16,0,0,1,0.0625,0,0,0,0,37,12,0.3243,2,0.0541,0,0,0,0,32,1,0.0313,1,0.0313,0,0,0,0,3,0,0,1,0.3333,0,0,0,0
15,327,30,0.0917,23,0.0703,1,0.0031,5,0.0153,257,57,0.2218,17,0.0661,1,0.0039,14,0.0545,401,10,0.0249,4,0.01,0,0,1,0.0025,123,68,0.5528,8,0.065,0,0,10,0.0813
16,189,9,0.0476,14,0.0741,0,0,2,0.0106,166,41,0.247,4,0.0241,0,0,6,0.0361,268,18,0.0672,3,0.0112,0,0,7,0.0261,120,0,0,1,0.0083,0,0,0,0
17,110,4,0.0364,14,0.1273,1,0.0091,0,0,119,24,0.2017,5,0.042,0,0,0,0,160,3,0.0188,6,0.0375,0,0,0,0,39,24,0.6154,6,0.1538,0,0,0,0
18,106,4,0.0377,0,0,0,0,0,0,66,12,0.1818,1,0.0152,1,0.0152,1,0.0152,178,5,0.0281,2,0.0112,0,0,0,0,64,2,0.0313,0,0,0,0,1,0.0156
19,243,7,0.0288,6,0.0247,0,0,2,0.0082,103,26,0.2524,3,0.0291,0,0,6,0.0583,155,7,0.0452,4,0.0258,0,0,1,0.0065,77,1,0.013,0,0,0,0,1,0.013
20,121,7,0.0579,13,0.1074,0,0,0,0,111,40,0.3604,8,0.0721,2,0.018,8,0.0721,136,9,0.0662,5,0.0368,0,0,2,0.0147,69,21,0.3043,11,0.1594,1,0.0145,3,0.0435
21,33,7,0.2121,1,0.0303,0,0,2,0.0606,32,15,0.4688,0,0,0,0,8,0.25,62,4,0.0645,1,0.0161,0,0,0,0,14,0,0,0,0,0,0,0,0
22,105,0,0,2,0.019,2,0.019,0,0,49,23,0.4694,1,0.0204,0,0,11,0.2245,35,0,0,0,0,0,0,0,0,24,1,0.0417,1,0.0417,1,0.0417,0,0
23,44,3,0.0682,5,0.1136,1,0.0227,0,0,70,17,0.2429,6,0.0857,1,0.0143,7,0.1,92,4,0.0435,1,0.0109,0,0,1,0.0109,48,1,0.0208,1,0.0208,0,0,0,0
24,408,15,0.0368,12,0.0294,0,0,0,0,218,48,0.2202,8,0.0367,1,0.0046,5,0.0229,298,12,0.0403,1,0.0034,0,0,2,0.0067,460,29,0.063,7,0.0152,0,0,0,0
25,103,9,0.0874,17,0.165,0,0,1,0.0097,133,50,0.3759,12,0.0902,2,0.015,9,0.0677,201,17,0.0846,7,0.0348,1,0.005,5,0.0249,32,20,0.625,4,0.125,0,0,0,0
26,306,13,0.0425,25,0.0817,3,0.0098,0,0,139,31,0.223,6,0.0432,0,0,1,0.0072,329,7,0.0213,1,0.003,0,0,2,0.0061,142,59,0.4155,45,0.3169,1,0.007,8,0.0563
27,75,0,0,5,0.0667,0,0,0,0,82,17,0.2073,5,0.061,0,0,0,0,86,1,0.0116,3,0.0349,0,0,0,0,50,0,0,0,0,0,0,0,0
28,104,6,0.0577,9,0.0865,7,0.0673,1,0.0096,34,6,0.1765,5,0.1471,2,0.0588,2,0.0588,3,0,0,0,0,0,0,0,0,254,23,0.0906,11,0.0433,0,0,3,0.0118
29,493,25,0.0507,35,0.071,0,0,3,0.0061,241,56,0.2324,21,0.0871,1,0.0041,8,0.0332,302,7,0.0232,2,0.0066,0,0,0,0,15,0,0,0,0,0,0,0,0
30,62,2,0.0323,0,0,0,0,2,0.0323,98,35,0.3571,4,0.0408,0,0,8,0.0816,175,10,0.0571,3,0.0171,0,0,1,0.0057,27,0,0,0,0,0,0,0,0
31,107,6,0.0561,14,0.1308,1,0.0093,1,0.0093,90,12,0.1333,6,0.0667,2,0.0222,2,0.0222,127,6,0.0472,3,0.0236,0,0,2,0.0157,19,0,0,0,0,0,0,0,0
32,26,0,0,7,0.2692,0,0,0,0,56,7,0.125,5,0.0893,1,0.0179,0,0,33,4,0.1212,1,0.0303,0,0,0,0,65,0,0,0,0,0,0,0,0
33,159,7,0.044,18,0.1132,1,0.0063,1,0.0063,176,44,0.25,5,0.0284,1,0.0057,7,0.0398,164,4,0.0244,3,0.0183,0,0,1,0.0061,21,0,0,1,0.0476,0,0,0,0
34,129,9,0.0698,4,0.031,0,0,0,0,56,20,0.3571,6,0.1071,0,0,1,0.0179,75,3,0.04,2,0.0267,0,0,0,0,31,6,0.1935,0,0,0,0,0,0
35,316,19,0.0601,10,0.0316,0,0,7,0.0222,150,45,0.3,6,0.04,0,0,7,0.0467,71,5,0.0704,1,0.0141,0,0,1,0.0141,67,2,0.0299,0,0,0,0,0,0
36,229,6,0.0262,11,0.048,0,0,1,0.0044,100,21,0.21,6,0.06,0,0,4,0.04,134,9,0.0672,0,0,0,0,3,0.0224,19,3,0.1579,0,0,0,0,0,0
