hospital,Q1_total number of tested patients,Q1_total number of specimes,Q1_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients_E. coli,Q1_isolation rate_E. coli,Q1_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients_MRSA,Q1_isolation rate_MRSA,Q1_number of patients_PRSP,Q1_isolation rate_PRSP,Q1_number of patients_CRP,Q1_isolation rate_CRP,Q1_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q2_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q2_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q2_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q2_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q2_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q2_isolation rate_MRSA,Q2_number of patients_PRSP,Q2_isolation rate_PRSP,Q2_number of patients_CRP,Q2_isolation rate_CRP,Q2_number of patients_3GCRKP,Q2_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q2_isolation rate_3GCREC,Q3_total number of tested patients,total number of specimes,total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
1,340,1087,50,0.1471,4,0.0118,43,0.1265,20,0.0588,9,0.0265,24,0.0706,1,0.0029,3,0.0088,4,0.0118,21,0.0618,307,852,296,29,0.0945,1,0.0033,50,0.1629,10,0.0326,14,0.0456,8,0.0261,0,0,2,0.0065,0,0,17,0.0554,345,1020,368,41,0.1188,1,0.0029,33,0.0957,27,0.0783,23,0.0667,22,0.0638,0,0,3,0.0087,4,0.0116,9,0.0261
2,352,1075,37,0.1051,2,0.0057,49,0.1392,26,0.0739,9,0.0256,14,0.0398,1,0.0028,0,0,0,0,9,0.0256,295,970,522,24,0.0814,4,0.0136,52,0.1763,13,0.0441,15,0.0508,7,0.0237,3,0.0102,0,0,0,0,0,0,270,1003,611,30,0.1111,0,0,42,0.1556,28,0.1037,21,0.0778,10,0.037,0,0,0,0,4,0.0148,3,0.0111
3,500,1149,39,0.078,11,0.022,65,0.13,15,0.03,16,0.032,15,0.03,3,0.006,2,0.004,0,0,11,0.022,454,1168,486,29,0.0639,4,0.0088,61,0.1344,16,0.0352,13,0.0286,9,0.0198,2,0.0044,1,0.0022,1,0.0022,12,0.0264,480,1207,565,28,0.0583,4,0.0083,68,0.1417,23,0.0479,15,0.0313,13,0.0271,1,0.0021,4,0.0083,1,0.0021,6,0.0125
4,340,742,67,0.1971,7,0.0206,85,0.25,17,0.05,23,0.0676,34,0.1,2,0.0059,2,0.0059,0,0,14,0.0412,230,504,857,44,0.1913,2,0.0087,61,0.2652,17,0.0739,20,0.087,29,0.1261,2,0.0087,2,0.0087,1,0.0043,13,0.0565,692,2162,1235,78,0.1127,2,0.0029,62,0.0896,35,0.0506,21,0.0303,23,0.0332,1,0.0014,2,0.0029,2,0.0029,15,0.0217
5,768,2295,73,0.0951,12,0.0156,56,0.0729,19,0.0247,14,0.0182,12,0.0156,1,0.0013,0,0,3,0.0039,10,0.013,729,2131,1238,72,0.0988,7,0.0096,54,0.0741,22,0.0302,18,0.0247,11,0.0151,6,0.0082,2,0.0027,5,0.0069,8,0.011,351,943,926,43,0.1225,7,0.0199,74,0.2108,30,0.0855,17,0.0484,15,0.0427,5,0.0142,2,0.0057,0,0,8,0.0228
6,386,1018,39,0.101,3,0.0078,83,0.215,19,0.0492,24,0.0622,12,0.0311,2,0.0052,1,0.0026,0,0,4,0.0104,313,833,758,35,0.1118,3,0.0096,87,0.278,28,0.0895,14,0.0447,12,0.0383,0,0,1,0.0032,0,0,6,0.0192,458,1168,393,38,0.083,1,0.0022,45,0.0983,43,0.0939,26,0.0568,22,0.048,0,0,4,0.0087,4,0.0087,9,0.0197
7,1135,4084,158,0.1392,9,0.0079,117,0.1031,0,0,64,0.0564,37,0.0326,3,0.0026,20,0.0176,0,0,24,0.0211,1037,3618,1857,134,0.1292,4,0.0039,101,0.0974,0,0,59,0.0569,29,0.028,0,0,10,0.0096,0,0,14,0.0135,973,3644,3417,161,0.1655,3,0.0031,218,0.224,141,0.1449,48,0.0493,63,0.0647,1,0.001,3,0.0031,17,0.0175,36,0.037
8,558,1689,59,0.1057,15,0.0269,78,0.1398,42,0.0753,31,0.0556,33,0.0591,3,0.0054,6,0.0108,4,0.0072,23,0.0412,360,1079,446,44,0.1222,0,0,50,0.1389,25,0.0694,24,0.0667,27,0.075,0,0,5,0.0139,2,0.0056,20,0.0556,587,1604,1420,72,0.1227,13,0.0221,86,0.1465,43,0.0733,29,0.0494,29,0.0494,4,0.0068,7,0.0119,15,0.0256,26,0.0443
9,937,3569,178,0.19,3,0.0032,202,0.2156,95,0.1014,61,0.0651,72,0.0768,1,0.0011,7,0.0075,15,0.016,40,0.0427,928,3565,3500,177,0.1907,4,0.0043,206,0.222,96,0.1034,51,0.055,82,0.0884,2,0.0022,2,0.0022,8,0.0086,41,0.0442,762,2163,2081,89,0.1168,7,0.0092,115,0.1509,66,0.0866,37,0.0486,28,0.0367,6,0.0079,4,0.0052,0,0,15,0.0197
10,495,1330,58,0.1172,5,0.0101,84,0.1697,28,0.0566,23,0.0465,27,0.0545,0,0,5,0.0101,3,0.0061,27,0.0545,534,1510,1344,66,0.1236,5,0.0094,88,0.1648,32,0.0599,22,0.0412,33,0.0618,2,0.0037,1,0.0019,7,0.0131,17,0.0318,379,1154,1000,64,0.1689,3,0.0079,101,0.2665,37,0.0976,46,0.1214,35,0.0923,1,0.0026,4,0.0106,0,0,35,0.0923
11,928,2517,139,0.1498,21,0.0226,129,0.139,49,0.0528,44,0.0474,54,0.0582,6,0.0065,6,0.0065,6,0.0065,19,0.0205,728,1975,1901,97,0.1332,9,0.0124,105,0.1442,38,0.0522,25,0.0343,37,0.0508,4,0.0055,2,0.0027,1,0.0014,14,0.0192,302,895,281,28,0.0927,0,0,44,0.1457,21,0.0695,14,0.0464,20,0.0662,0,0,1,0.0033,3,0.0099,12,0.0397
12,362,1139,75,0.2072,5,0.0138,101,0.279,33,0.0912,46,0.1271,43,0.1188,0,0,2,0.0055,1,0.0028,38,0.105,344,1049,818,56,0.1628,1,0.0029,100,0.2907,26,0.0756,34,0.0988,26,0.0756,0,0,2,0.0058,0,0,41,0.1192,213,610,326,26,0.1221,3,0.0141,35,0.1643,15,0.0704,9,0.0423,18,0.0845,1,0.0047,0,0,2,0.0094,6,0.0282
13,248,649,39,0.1573,1,0.004,30,0.121,12,0.0484,11,0.0444,28,0.1129,0,0,4,0.0161,0,0,8,0.0323,222,634,222,37,0.1667,1,0.0045,32,0.1441,12,0.0541,14,0.0631,26,0.1171,0,0,2,0.009,0,0,7,0.0315,606,1627,765,61,0.1007,2,0.0033,80,0.132,43,0.071,21,0.0347,22,0.0363,2,0.0033,1,0.0017,14,0.0231,12,0.0198
14,270,715,40,0.1481,26,0.0963,35,0.1296,13,0.0481,9,0.0333,16,0.0593,1,0.0037,1,0.0037,2,0.0074,7,0.0259,130,356,211,18,0.1385,1,0.0077,25,0.1923,7,0.0538,8,0.0615,13,0.1,0,0,1,0.0077,1,0.0077,5,0.0385,83,160,75,0,0,0,0,15,0.1807,5,0.0602,4,0.0482,0,0,0,0,0,0,0,0,0,0
15,651,1747,94,0.1444,2,0.0031,96,0.1475,48,0.0737,28,0.043,32,0.0492,1,0.0015,3,0.0046,14,0.0215,15,0.023,624,1633,763,74,0.1186,1,0.0016,95,0.1522,43,0.0689,27,0.0433,28,0.0449,0,0,4,0.0064,11,0.0176,16,0.0256,862,2763,2067,107,0.1241,4,0.0046,166,0.1926,53,0.0615,50,0.058,46,0.0534,3,0.0035,13,0.0151,4,0.0046,29,0.0336
16,114,209,3,0.0263,0,0,14,0.1228,4,0.0351,1,0.0088,0,0,0,0,0,0,2,0.0175,0,0,97,193,72,3,0.0309,0,0,15,0.1546,4,0.0412,2,0.0206,0,0,0,0,1,0.0103,0,0,0,0,452,1461,955,65,0.1438,4,0.0088,67,0.1482,22,0.0487,24,0.0531,19,0.042,2,0.0044,2,0.0044,0,0,13,0.0288
17,877,2882,115,0.1311,12,0.0137,136,0.1551,30,0.0342,36,0.041,38,0.0433,5,0.0057,14,0.016,1,0.0011,20,0.0228,795,2541,1589,93,0.117,3,0.0038,127,0.1597,25,0.0314,46,0.0579,47,0.0591,2,0.0025,11,0.0138,0,0,19,0.0239,297,730,674,45,0.1515,2,0.0067,61,0.2054,28,0.0943,22,0.0741,16,0.0539,0,0,3,0.0101,1,0.0034,0,0
18,423,1164,62,0.1466,17,0.0402,55,0.13,9,0.0213,18,0.0426,22,0.052,7,0.0165,0,0,0,0,16,0.0378,407,1239,812,70,0.172,9,0.0221,50,0.1229,14,0.0344,17,0.0418,24,0.059,2,0.0049,3,0.0074,0,0,11,0.027,279,756,252,14,0.0502,11,0.0394,30,0.1075,8,0.0287,8,0.0287,3,0.0108,0,0,0,0,2,0.0072,1,0.0036
19,355,838,40,0.1127,19,0.0535,74,0.2085,25,0.0704,8,0.0225,9,0.0254,0,0,0,0,3,0.0085,0,0,293,691,601,39,0.1331,4,0.0137,64,0.2184,30,0.1024,11,0.0375,8,0.0273,0,0,1,0.0034,0,0,2,0.0068,446,999,493,54,0.1211,0,0,52,0.1166,22,0.0493,13,0.0291,21,0.0471,0,0,2,0.0045,0,0,14,0.0314
20,313,752,30,0.0958,16,0.0511,31,0.099,7,0.0224,9,0.0288,14,0.0447,0,0,0,0,0,0,5,0.016,245,636,294,20,0.0816,9,0.0367,31,0.1265,7,0.0286,9,0.0367,11,0.0449,0,0,0,0,0,0,5,0.0204,272,767,861,47,0.1728,6,0.0221,74,0.2721,35,0.1287,17,0.0625,19,0.0699,1,0.0037,2,0.0074,3,0.011,12,0.0441
21,405,1101,56,0.1383,3,0.0074,61,0.1506,17,0.042,14,0.0346,16,0.0395,3,0.0074,0,0,0,0,7,0.0173,391,1017,440,53,0.1355,1,0.0026,44,0.1125,16,0.0409,10,0.0256,22,0.0563,1,0.0026,0,0,0,0,6,0.0153,136,277,220,15,0.1103,0,0,26,0.1912,5,0.0368,8,0.0588,4,0.0294,0,0,1,0.0074,0,0,12,0.0882
22,290,687,63,0.2172,9,0.031,61,0.2103,28,0.0966,17,0.0586,25,0.0862,2,0.0069,1,0.0034,1,0.0034,11,0.0379,238,639,731,45,0.1891,5,0.021,59,0.2479,21,0.0882,22,0.0924,23,0.0966,1,0.0042,3,0.0126,0,0,7,0.0294,189,359,226,13,0.0688,0,0,25,0.1323,3,0.0159,25,0.1323,6,0.0317,0,0,2,0.0106,2,0.0106,11,0.0582
23,164,353,28,0.1707,1,0.0061,34,0.2073,15,0.0915,5,0.0305,13,0.0793,0,0,0,0,0,0,14,0.0854,163,374,265,18,0.1104,0,0,32,0.1963,9,0.0552,6,0.0368,8,0.0491,0,0,0,0,0,0,11,0.0675,205,453,304,30,0.1463,1,0.0049,29,0.1415,15,0.0732,9,0.0439,20,0.0976,0,0,0,0,3,0.0146,9,0.0439
24,237,548,18,0.0759,6,0.0253,39,0.1646,9,0.038,23,0.097,8,0.0338,2,0.0084,0,0,2,0.0084,14,0.0591,119,285,190,16,0.1345,1,0.0084,18,0.1513,8,0.0672,17,0.1429,10,0.084,0,0,2,0.0168,2,0.0168,8,0.0672,1044,3157,2502,126,0.1207,5,0.0048,99,0.0948,30,0.0287,34,0.0326,31,0.0297,1,0.001,6,0.0057,2,0.0019,7,0.0067
25,218,446,28,0.1284,2,0.0092,41,0.1881,19,0.0872,8,0.0367,19,0.0872,0,0,1,0.0046,0,0,6,0.0275,191,430,291,22,0.1152,1,0.0052,33,0.1728,6,0.0314,7,0.0366,18,0.0942,0,0,0,0,1,0.0052,6,0.0314,353,938,899,43,0.1218,3,0.0085,84,0.238,41,0.1161,28,0.0793,7,0.0198,0,0,5,0.0142,3,0.0085,14,0.0397
26,1072,3237,113,0.1054,10,0.0093,87,0.0812,32,0.0299,27,0.0252,26,0.0243,4,0.0037,11,0.0103,0,0,6,0.0056,1047,3098,2363,107,0.1022,6,0.0057,95,0.0907,33,0.0315,30,0.0287,24,0.0229,3,0.0029,5,0.0048,1,0.001,7,0.0067,3474,6849,2510,87,0.025,6,0.0017,137,0.0394,76,0.0219,27,0.0078,31,0.0089,0,0,7,0.002,4,0.0012,15,0.0043
27,371,837,42,0.1132,3,0.0081,80,0.2156,30,0.0809,30,0.0809,9,0.0243,0,0,0,0,0,0,4,0.0108,381,925,956,47,0.1234,5,0.0131,101,0.2651,43,0.1129,27,0.0709,14,0.0367,2,0.0052,3,0.0079,0,0,6,0.0157,295,622,292,24,0.0814,1,0.0034,21,0.0712,18,0.061,7,0.0237,10,0.0339,0,0,0,0,0,0,0,0
28,3676,7202,91,0.0248,13,0.0035,147,0.04,46,0.0125,22,0.006,24,0.0065,0,0,1,0.0003,0,0,21,0.0057,3291,6530,2400,96,0.0292,13,0.004,125,0.038,52,0.0158,28,0.0085,20,0.0061,0,0,2,0.0006,0,0,10,0.003,132,193,286,57,0.4318,0,0,15,0.1136,15,0.1136,57,0.4318,39,0.2955,0,0,3,0.0227,11,0.0833,4,0.0303
29,320,674,29,0.0906,8,0.025,19,0.0594,11,0.0344,14,0.0438,9,0.0281,0,0,1,0.0031,0,0,0,0,260,578,216,30,0.1154,1,0.0038,28,0.1077,13,0.05,11,0.0423,7,0.0269,0,0,2,0.0077,0,0,0,0,938,2765,2979,152,0.162,3,0.0032,121,0.129,77,0.0821,79,0.0842,21,0.0224,3,0.0032,3,0.0032,3,0.0032,16,0.0171
30,101,157,43,0.4257,2,0.0198,8,0.0792,16,0.1584,42,0.4158,30,0.297,1,0.0099,3,0.0297,9,0.0891,2,0.0198,191,262,373,80,0.4188,2,0.0105,13,0.0681,25,0.1309,64,0.3351,39,0.2042,0,0,6,0.0314,14,0.0733,2,0.0105,378,807,230,15,0.0397,2,0.0053,48,0.127,9,0.0238,5,0.0132,8,0.0212,0,0,0,0,0,0,9,0.0238
31,2378,4353,135,0.0568,4,0.0017,97,0.0408,59,0.0248,54,0.0227,33,0.0139,0,0,3,0.0013,2,0.0008,10,0.0042,1641,3700,2952,148,0.0902,2,0.0012,121,0.0737,60,0.0366,68,0.0414,30,0.0183,1,0.0006,5,0.003,3,0.0018,18,0.011,303,700,274,44,0.1452,0,0,26,0.0858,24,0.0792,20,0.066,12,0.0396,0,0,2,0.0066,4,0.0132,5,0.0165
32,461,964,39,0.0846,6,0.013,48,0.1041,12,0.026,12,0.026,23,0.0499,1,0.0022,1,0.0022,0,0,14,0.0304,345,777,275,25,0.0725,4,0.0116,38,0.1101,14,0.0406,5,0.0145,12,0.0348,0,0,0,0,0,0,6,0.0174,167,344,299,19,0.1138,0,0,15,0.0898,13,0.0778,9,0.0539,8,0.0479,0,0,1,0.006,1,0.006,1,0.006
